,,,LNCOMP,DC,DMC,SIZE,ROE,ALR,BOD
1,2,2016,18-1842999658561,0-00237978113173898,0-162370678444176,27-4455035139278,0-196815,0-805367,11
1,2,1905/7/9,18-2668300191341,0-00212048031013442,0-111510414632814,27-7840399421407,0-227952,0-839813,11
1,2,2018,18-3597835850011,0-00463941732535062,0-0567121625034178,28-0553598948065,0-234175,0-845856,11
1,2,2019,18-1811410068266,0-00393047616741466,0-0856810737636583,28-1791017434918,0-226117,0-84359,10
1,2,2020,18-1770155569174,0-00338642287159415,0-12510446630117,28-2565193932602,0-201254,0-812835,11
2,29,2016,15-846076931862,-9.96E+14,0-433208088341033,22-0544704386455,0-125239,0-335385,9
2,29,2017,15-9091015227485,-6.69E+14,0-536297173180664,22-1068725851581,0-067611,0-323178,9
2,29,2018,15-8667840798162,-1.18E+14,0-726213962086926,22-2635447600075,0-16346,0-314014,9
2,29,2019,16-0422615745588,-1.51E+14,0-873209761055513,22-3144724722292,0-157863,0-282032,9
2,29,2020,15-807867992737,-1.68E+14,0-91134457184554,22-3200068329535,0-077764,0-259237,11
3,31,2016,16-3161839239269,0-0100836807324933,0-233715212214874,24-8386695905868,0-119826,0-815795,7
3,31,2017,16-7894010265117,0-0148490399674487,0-246393112326421,25-050723763481,0-15098,0-844959,9
3,31,2018,16-6946696886463,0-0131327367857677,0-0759813808960835,25-2360129012509,0-191671,0-849079,9
3,31,2019,17-2060109300781,0-0117929451126635,0-0575360553513821,25-9337491229997,0-136446,0-767767,8
3,31,2020,16-6080121955359,0-00610321395203619,0-0402529104146982,26-0209399364674,-20519,0-771622,11
4,69,2016,15-3585505149171,0-00945281356116848,0-179038272973305,25-7092319264353,0-168415,0-671215,7
4,69,2017,15-8213373714025,0-0105133182613569,0-209269053366948,26-1052964524258,0-180508,0-698911,7
4,69,2018,16-4485235976065,0-00951725584880503,0-156846145731631,26-4074139353048,0-190486,0-737692,8
4,69,2019,16-895583979952,0-00630224253162128,0-220102140890321,26-6624365086768,0-193159,0-749767,8
4,69,2020,17-2110922008408,0-00558180865628168,0-0996615728629996,26-8470478413519,0-17255,0-75826,7
5,517,2016,15-7610920815996,0-0137771905040917,0-113701430237666,23-1308084709458,0-040805,0-668969,9
5,517,2017,15-6576462345174,0-0105455223266703,0-0270622386606798,23-3031187652529,0-13724,0-678841,8
5,517,2018,15-8006414201729,0-0047283594493875,0-166755861787404,23-9143947137261,0-135715,0-803889,8
5,517,2019,15-9826195113959,0-00391493575144892,0-286662442449727,24-4124619648077,0-329827,0-831331,8
5,517,2020,16-2841184347828,0-00092406424044619,0-194137135444379,24-9393554479151,0-233662,0-844589,9
6,537,2016,14-9648793302962,-4.82E+13,0-350716377619326,23-6332561707394,0-162498,0-821369,9
6,537,2017,15-1715003388193,0-000998349581619802,0-109329223507602,25-0082520062357,0-266241,0-866964,9
6,537,2018,15-1108950437243,0-00246293526362765,0-209290711216774,25-0533988417497,0-220817,0-859335,9
6,537,2019,15-0354846560172,0-00495077463103158,0-219289603903716,24-970544092242,0-25867,0-80533,9
6,537,2020,15-2630881475011,0-0106564201917109,0-0094051467336674,25-03855138856,0-152698,0-794792,9
7,540,2016,16-893845337035,0-0158924195741004,0-0333200000710672,24-9881864820149,0-213561,0-781105,12
7,540,2017,16-9031380962225,0-023341406997206,0-0522109144105926,25-4100605368756,0-134367,0-824242,12
7,540,2018,16-9257404761831,0-0328785234084713,0-0940919888418751,25-3478011185236,0-088624,0-806701,12
7,540,2019,16-7434456734524,0-0193301503536777,0-0524796421003386,25-509370037912,0-063825,0-826794,11
7,540,2020,16-3953788419732,0-0209639583092213,0-059546696032595,25-6537827697678,0-031842,0-843467,13
8,558,2016,14-6526714986631,0-038966604952044,0-0620257613662208,21-6573542227788,0-019543,0-45875,9
8,558,2017,14-7331603658761,0-0309184453614327,0-415491151577328,21-6601820604592,0-021737,0-457423,9
8,558,2018,15-2467065804354,0-0229039146264101,0-36682808716707,21-735963083837,-47203,0-509575,9
8,558,2019,15-1608266623556,0-0218212837947842,0-346173212487412,21-6070463785057,0-02035,0-468859,9
8,558,2020,15-2279355216614,0-031075470061322,0-171449548757614,21-4960932699702,-57149,0-436977,9
9,560,2016,15-6494191407005,0-0183869252836912,0-151113531484188,22-6234011178137,0-021082,0-431851,7
9,560,2017,15-6128212572307,0-00785823076240694,0-239351950854353,23-5642235194247,0-012631,0-530688,7
9,560,2018,15-9458353099587,0-0192512293116324,0-732820886253776,23-6339233067015,0-073449,0-483221,7
9,560,2019,16-1618828449263,0-0217990153040212,0-781721180701157,23-6932505138497,0-084501,0-469037,7
9,560,2020,16-3966360654928,0-0184998825784816,0-75937973026882,23-7251662025555,0-030497,0-484001,9
10,573,2016,15-1499851703544,0-0331092292802992,0-781926029309142,21-7386612821263,0-123018,0-377309,5
10,573,2017,15-1539792896016,0-00844056696892304,0-22856581831224,21-8013878410969,0-020991,0-415724,5
10,573,2018,15-6483159966283,0-0102788594773585,0-342372394094336,21-967075628312,0-030873,0-507999,5
10,573,2019,15-9000515751888,0-0191645216265648,0-30508503798932,21-7992117802252,0-038096,0-40997,5
10,573,2020,16-1827966588942,0-0279578806500867,0-508832754468212,21-8576496654173,-70431,0-493365,5
11,615,2016,16-4233720318111,0-00537521552754319,0-389242909894946,22-642723640399,0-065132,0-713111,9
11,615,2017,16-3291828152391,0-00961054053133639,0-15506122067367,22-937622640326,0-169221,0-693009,9
11,615,2018,16-6020391669377,0-00858930187866826,0-290745798014312,23-2316018969514,0-079205,0-757065,8
11,615,2019,16-3347864278318,0-0183666609943134,0-560627215130328,23-0464577142588,0-006429,0-739543,9
11,615,2020,15-8554183374961,0-0270881559158111,0-14907579824167,22-9696163992664,-75966,0-719366,9
12,617,2016,14-4478987326787,0-000373622431682756,0-410000580065341,27-3765110472825,0-091129,0-844476,5
12,617,2017,15-6751311473792,0-000831083095562024,0-325770235781555,27-4868010409296,0-099652,0-847963,9
12,617,2018,15-88543192626,0-00104546321934452,0-44522278561948,27-5160657333634,0-097232,0-840365,8
12,617,2019,16-0421968454501,0-00133372008054736,0-557877904004491,27-5620782268669,0-096541,0-835454,8
12,617,2020,16-054719121114,0-00158613851625815,0-522222186984481,27-5691918633169,0-090479,0-827488,8
13,656,2016,17-83079026759,0-00352219381681183,0-0387073750722049,25-416897020016,0-08492,0-793754,9
13,656,2017,17-4690917958654,0-00349577335901287,0-113733729804054,25-7818275751853,0-100796,0-857869,9
13,656,2018,18-2992631111428,0-000257383657558079,0-0553809524536997,26-1643782170796,0-180952,0-836295,9
13,656,2019,18-7600808330844,0-00233330356024749,0-0436123064062884,26-4965899732135,0-224572,0-837841,9
13,656,2020,18-5133529017799,0-00156390283860403,0-138438935987059,26-6664797679653,0-2187,0-807171,8
14,671,2016,17-0111873542899,0-000410314742768638,0-229061470648933,25-514338840455,0-097556,0-842861,9
14,671,2017,16-9705942497447,0-000700545342174375,0-211613754870368,26-0857313529396,0-127467,0-856649,9
14,671,2018,17-2756684324499,0-0027611163334428,0-2150815400729,26-2969268181945,0-143268,0-844228,11
14,671,2019,17-3076144983141,0-00352913998098205,0-0895259692587069,26-4519096382175,0-161702,0-834503,10
14,671,2020,17-3189696589705,0-00286787632926659,0-0487164460696812,26-5877541821565,0-181773,0-8318,12
15,718,2016,16-3113571477906,0-00481610132631598,0-0777420720397591,23-7769302537995,0-127753,0-611588,7
15,718,2017,16-4147275539297,0-00359667124783901,0-540260161416391,23-7041019872902,0-146725,0-540393,7
15,718,2018,16-3280566935557,0-00580102391782478,0-23480298614241,23-6617716942459,0-122182,0-529465,7
15,718,2019,16-0649796438071,0-0105554899702689,0-247260736333441,23-6124191674774,0-146415,0-526626,7
15,718,2020,15-8821454433747,0-0155103569171188,0-423410836751206,23-49407456754,0-124828,0-455319,7
16,720,2016,15-1393442377416,0-0347147802931421,0-2136335160986,22-4012230774475,-73304,0-775646,11
16,720,2017,15-2880972876492,0-0220540256505003,0-476504240137845,22-9241944497954,-44494,0-842368,9
16,720,2018,15-5801043591196,0-0137989306642573,0-641932643800865,22-3782252484399,0-651505,0-566991,10
16,720,2019,15-8865040148541,0-020236583214785,0-745190942223944,22-2551964882688,0-207215,0-437524,10
16,720,2020,15-8191369017788,0-0258259135839456,0-759659460624082,22-3883156241383,0-105345,0-455691,10
17,797,2016,14-8886682771599,0-0122927390235531,0-3739495892416,23-1127465626145,0-126486,0-786772,9
17,797,2017,15-2118295046061,0-0155397126888962,0-221262461682454,23-450625060219,0-065211,0-640025,9
17,797,2018,14-6858829978934,-8.70E+14,0-324675196564083,23-4832556298903,0-055288,0-630874,9
17,797,2019,15-4432597901696,0-00134157696201617,0-633896425281528,23-7325564060976,0-064019,0-707175,9
17,797,2020,15-7339467300188,0-0145666005078999,0-450366318293149,23-8740211755641,0-052344,0-74763,9
18,897,2016,14-7624468799528,0-00928243861375944,0-538570610185024,22-6253450829748,0-036894,0-765153,11
18,897,2017,14-6747228727987,0-0102763508602159,0-446983973274508,22-5282645832703,-96313,0-778276,11
18,897,2018,15-0556513436727,0-00274760563935003,0-518630098352382,22-6573186559341,-11614,0-826717,11
18,897,2019,14-8921157913693,0-00151069732966703,0-999970787060317,22-6555932773429,0-153208,0-812323,11
18,897,2020,14-8979934647025,-1.86E+14,0-166666666666667,22-6601052457433,0-152147,0-780142,11
19,909,2016,15-2455586119741,0-0114697504597781,0-142393612071822,22-2631751083161,0-02428,0-739025,5
19,909,2017,15-2423228673871,0-0152140927881011,0-246128795240798,22-0910040263118,0-029222,0-681074,5
19,909,2018,15-4491922017688,0-0359712254787753,0-999901411320686,21-899274937366,0-035079,0-613195,5
19,909,2019,15-5204040941707,0-0395996884983905,0-410891528911975,21-898687542815,0-025861,0-605846,5
19,909,2020,15-4720801171306,0-034444276828044,0-300196022843951,22-1877653431346,0-026426,0-522629,5
20,926,2016,16-3606417495474,0-00457499439217624,0-0171168742117476,24-5418020813284,0-062165,0-735414,9
20,926,2017,16-6558104973896,0-00859492369282328,0-0702789537217035,24-6151349789746,0-084741,0-757274,9
20,926,2018,16-1744381764964,0-010176496851012,0-0222524771939085,24-5835546559168,0-10703,0-745594,8
20,926,2019,16-0980970044516,0-00942439604801757,0-0259304668259126,24-6566131978429,0-054082,0-757844,9
20,926,2020,16-1959821896154,0-00828350032933488,0-0647669526758169,24-683218677651,0-027524,0-765836,9
21,961,2016,17-0982997085761,0-003783683699197,0-0979793037246084,25-4865968519282,0-030059,0-862251,9
21,961,2017,16-9864558490749,0-00215653316034526,0-15078731128705,25-8880751980865,0-043764,0-905155,12
21,961,2018,18-5459644678715,0-00192330179339222,0-209476804066899,26-1858005596936,0-133446,0-916869,12
21,961,2019,18-5087831921739,0-00255800238373181,0-219106426818698,26-3951123710761,0-214384,0-90769,11
21,961,2020,18-5881762696276,0-00176757460291307,0-156766692134959,26-6072939728081,0-282319,0-865379,11
22,1979,2016,17-7599891368119,0-00819949996058328,0-0813431952137356,26-2476492116271,0-185941,0-689606,11
22,1979,2017,17-8582916138563,0-00348455289072879,0-195257021855909,26-5302693037669,0-195765,0-721056,11
22,1979,2018,17-801621963926,0-00778682927079026,0-176408345714063,26-7711613942013,0-207284,0-742776,8
22,1979,2019,17-9082221209019,0-00710333106787425,0-20275196197578,27-1492494555461,0-187805,0-631901,9
22,1979,2020,17-7121721791597,0-00459648717849347,0-149971674724742,27-3260671934404,0-12476,0-656305,9
23,2146,2016,17-2691928570824,0-000534158961279444,0-186984910961746,25-7051235330891,0-187081,0-827037,9
23,2146,2017,17-1364013082392,0-00136477264430635,0-218483616207175,25-9793703923613,0-225137,0-846766,8
23,2146,2018,17-9343070534093,0-00419226078404453,0-204997876073187,26-1515687535431,0-247636,0-840358,9
23,2146,2019,18-1326492771361,0-00436689899339841,0-117000033454097,26-262938813956,0-244934,0-824535,9
23,2146,2020,18-283494681149,0-0039430986895443,0-0398979504584055,26-3883451556307,0-171998,0-820653,9
24,2314,2016,16-1386333021759,0-001601913929556,0-404145697888743,23-4122058300547,0-091012,0-558888,9
24,2314,2017,16-6349112986565,0-00586384268503751,0-167770816384866,23-5286317600057,0-111368,0-594222,9
24,2314,2018,17-0981908846438,0-0135742482156442,0-290767636843638,24-174004490794,0-064389,0-657543,12
24,2314,2019,17-1984421308195,0-0122149463296564,0-191124115390698,24-4848264680539,0-04869,0-734191,12
24,2314,2020,17-479379849074,0-0147396123345746,0-181602686597825,24-6802230486091,0-143537,0-772606,12
25,600048,2016,17-2059839762635,0-00638456138743519,0-00411464083815613,26-8717272412814,0-15452,0-747644,9
25,600048,2017,17-2856119182736,0-00444390349708314,0-0172132772111652,27-2692643541116,0-159259,0-772792,9
25,600048,2018,17-4785592520437,0-00391613934305814,0-013816160744912,27-4643688597337,0-165209,0-779686,9
25,600048,2019,17-596057200604,0-00321235339819753,0-0151577887074063,27-6636903375144,0-201184,0-777855,9
25,600048,2020,17-794444268675,0-00320878172969886,0-020155846784754,27-8552639980263,0-172182,0-786924,9
26,600067,2016,15-6063195756563,0-0158250345742795,0-209060749019728,23-7126933387782,0-046335,0-610859,8
26,600067,2017,15-7477997906594,0-0133482546032995,0-191015015276391,23-7643473283274,0-084639,0-602584,9
26,600067,2018,16-2131603460883,0-0152125895447491,0-170894907773283,23-917439014123,0-100621,0-628709,9
26,600067,2019,16-4429434418921,0-0142314985094291,0-381607368603519,23-9557583927426,0-053043,0-644595,9
