证券代码,交易日期,相对报价价差（等权平均）,相对有效价差（等权平均）,相对报价价差（时间加权平均）,相对有效价差（时间加权平均）,相对报价价差（成交量加权平均）,相对有效价差（成交量加权平均）,相对报价价差（成交金额加权平均）,相对有效价差（成交金额加权平均）,有效数据条数,
300354,2019/1/2,0.242581,0.211673,0.29338,0.236323,0.272112,0.239714,0.272121,0.239598,426,
300355,2019/1/2,0.263854,0.264663,0.266406,0.265978,0.286118,0.290248,0.286087,0.290226,1257,
300356,2019/1/2,0.177545,0.179124,0.178444,0.178795,0.195887,0.204099,0.196055,0.204305,2561,
300357,2019/1/2,0.179306,0.184377,0.191074,0.195632,0.197031,0.20714,0.197982,0.208037,2756,
300358,2019/1/2,0.213533,0.193849,0.233182,0.186165,0.271766,0.264828,0.271055,0.264027,626,
300359,2019/1/2,0.177317,0.174596,0.179541,0.172812,0.188397,0.18876,0.188382,0.188784,997,
300360,2019/1/2,0.206973,0.200167,0.204555,0.195166,0.22368,0.214983,0.223602,0.214888,1104,
300362,2019/1/2,0.326009,0.344784,0.325845,0.344741,0.385968,0.407105,0.386569,0.407938,156,
300363,2019/1/2,0.194724,0.185336,0.199208,0.189328,0.212799,0.211398,0.212807,0.21135,1693,
300364,2019/1/2,0.213047,0.210435,0.213871,0.211005,0.216377,0.207814,0.216392,0.207797,1414,
300365,2019/1/2,0.211717,0.212569,0.246056,0.245501,0.242379,0.244571,0.242704,0.244894,1495,
300366,2019/1/2,0.147182,0.149263,0.147582,0.148726,0.153896,0.162595,0.15383,0.162433,2738,
300367,2019/1/2,0.14495,0.153094,0.142399,0.147286,0.185022,0.210812,0.184866,0.210632,1888,
300368,2019/1/2,0.203456,0.197817,0.21432,0.204014,0.203776,0.198708,0.203749,0.198698,621,
300369,2019/1/2,0.208574,0.20886,0.203019,0.197275,0.216629,0.227648,0.216421,0.227284,1539,
300370,2019/1/2,0.385307,0.385313,0.386553,0.38417,0.394063,0.391077,0.394118,0.391084,1356,
300371,2019/1/2,0.178558,0.154827,0.209362,0.171668,0.214472,0.19408,0.215049,0.194646,722,
300373,2019/1/2,0.100581,0.100133,0.109004,0.104782,0.11206,0.123626,0.112083,0.123704,1897,
300374,2019/1/2,0.134051,0.133304,0.136205,0.133402,0.166761,0.181038,0.166703,0.180971,1097,
